vessel_name,year,vessel_type,attack_type,place,region
Lapin 2015,1,5,3,9,2
Ocean,1,5,3,9,2
Petro,1,5,4,9,2
Joaquim,1,5,3,9,2
KHF,1,1,3,9,2
Songa,1,5,4,4,2
Kien 1,1,12,4,4,2
Kien 8,1,13,4,4,2
Musanah,1,5,4,4,2
BW,1,12,4,4,2
Bayswater,1,13,4,4,2
Mineral Fatih,1,3,4,4,2
Egret,1,3,4,4,2
Fujitrans,1,10,4,4,2
White coral ,1,3,4,4,2
Sun Birdie,1,5,3,5,2
Rehobot,1,5,3,4,2
Amber Halo,1,3,4,4,2
Name withheld,1,3,4,4,2
Global Aquarius,1,3,4,4,2
Bridgegate,1,3,4,4,2
Sea Star,1,3,4,4,2
phubai pattra 1 ,1,5,3,5,2
Amber Beverly,1,3,4,4,2
LBC Earth,1,3,4,4,2
Cape Mercurry,1,3,4,4,2
NYK Daniella,1,4,4,4,2
Singa Berlian,1,5,3,4,2
Ore Pantanal   ,1,3,4,9,2
Songa Peace,1,5,4,4,2
Union Eplorer,1,3,4,4,2
Captean Giorgis,1,3,4,8,2
MSC Vancouver,1,4,4,4,2
David Tide 2,1,12,3,5,2
Micyln 259,1,13,3,5,2
Global Trinity,1,3,4,13,2
Aqua Terra7,1,5,4,4,2
United Treasure ,1,3,4,4,2
Nautica Kota ,1,5,4,4,2
Densa Havk,1,3,4,4,2
Dongfang ,1,5,3,4,2
New Frontier,1,5,4,4,2
Voge Fantasy ,1,2,4,5,2
Grand Rodosi ,1,3,4,4,2
Alam Suria ,1,3,4,4,2
Name Withheld ,1,5,4,4,2
Xuan Hieu Group ,1,3,4,5,2
Kara Sea ,1,5,4,4,2
Great Ocean ,1,3,4,4,2
Hugli Spirit ,1,5,4,5,2
Frontier Youth ,1,3,4,5,2
Medi Yokohama,1,3,4,9,2
Sicilia,1,4,4,9,2
CS Calvina ,1,3,4,4,2
Maritime Champion ,1,3,4,4,2
Saga Journey ,1,2,4,9,2
Tiger West ,1,3,4,9,2
Milos Warrior,1,3,4,4,2
Overseas Athens ,1,5,4,4,2
Name Withheld ,1,5,3,5,2
Epic Sasa 2 ,1,12,4,9,2
Poe Giant 19 ,1,13,4,9,2
Jin-Ei ,1,5,4,4,2
Maersk Tacoma ,1,5,4,4,2
STI Ruby ,1,5,4,14,2
Okyalos ,1,3,4,4,2
MTT Tawau ,1,4,4,4,2
Orkim Victory ,1,5,3,5,2
Name Withheld ,1,5,4,4,2
Orkim Harmony ,1,5,3,5,2
Water Lily ,1,3,4,4,2
Harbour Trader ,1,12,4,4,2
Harbour Jupiter ,1,13,4,4,2
Clipper Posh ,1,5,4,4,2
Pro Triumph,1,5,4,4,2
Densa Shark ,1,3,4,4,2
Great Hope ,1,3,4,4,2
Birch 6  ,1,3,4,4,2
Ocean Trader I ,1,3,4,4,2
F. D. Angelica ,1,3,4,4,2
Pistis,1,3,4,4,2
Giorgos Dracopoulos ,1,3,4,4,2
Te Ho ,1,3,4,4,2
Leonid Loza ,1,5,4,4,2
TH Serenade ,1,5,4,14,2
Olympic Spirit II ,1,5,4,4,2
Sinar Bandung ,1,4,4,4,2
Rutland ,1,3,4,4,2
Diamond Eternity ,1,5,4,4,2
Silver Dubai ,1,5,4,14,2
Matrah,1,5,4,4,2
Lion King ,1,12,4,9,2
Maritime East ,1,13,4,9,2
Slettnes,1,3,4,4,2
Name Withheld ,1,5,4,4,2
Spring Sky ,1,3,4,4,2
Zaliv Amerika ,1,5,4,4,2
Federal Crimson ,1,3,4,4,2
Overseas Alcesmar ,1,5,4,4,2
Matar N ,1,4,4,4,2
Ibn Al Abbar ,1,4,4,4,2
CPO Norfolk ,1,4,4,4,2
Pacific Assurance ,1,3,4,4,2
Tintomara,1,5,4,14,2
Navig8 Stealth S.V. ,1,5,4,4,2
Maersk Lebu ,1,4,4,4,2
Name Withheld,1,5,4,4,2
Peace Bright ,1,3,4,4,2
Atout,1,4,4,4,2
Aquajoy ,1,3,4,4,2
Princimar Pride ,1,5,4,9,2
Yorkgate ,1,3,4,4,2
Ratna Puja ,1,5,4,4,2
MOL Brightness ,1,4,4,4,2
Crest Jade 1 ,1,12,4,4,2
Chamchuri Naree ,1,3,4,4,2
Challenge Polaris ,1,5,4,14,2
Hojo,1,5,4,14,2
Paros Seas ,1,3,4,4,2
Maersk Adriatic ,1,5,4,4,2
Overseas Atalmar ,1,5,4,4,2
Nave Pyxis ,1,5,4,5,2
Nord Supreme ,1,5,4,4,2
Indian Dawn ,1,2,4,4,2
Nord Swift ,1,5,4,5,2
Arabella,1,3,4,4,2
Cecilia,1,2,4,14,2
Lucina Providence ,1,5,4,4,2
Almi Spirit ,1,5,4,4,2
Merlin ,1,3,4,4,2
Fairchem Charger ,1,5,4,4,2
Beks Ceyda ,1,3,4,4,2
Willi,1,4,4,4,2
Name Withheld ,1,3,4,4,2
Sparna,1,3,4,4,2
Tosca,1,5,4,4,2
MOL Hope ,1,4,4,14,2
Bulk Atacama ,1,3,4,8,2
Cala Pinguino ,1,4,4,8,2
Sara,1,4,4,8,2
Anne Kjersti ,1,3,4,8,2
Cape Franklin ,1,4,4,8,2
Global Mirai ,1,3,4,8,2
Mahitis ,1,3,4,8,2
Pax Silva ,1,3,4,8,2
Northern Vigour ,1,4,4,8,2
Nord Seoul ,1,3,4,8,2
BBC Moonstone ,1,2,4,8,2
Balsa,1,4,4,8,2
Balsa,1,4,4,8,2
Adara,1,5,4,8,2
King Sugar ,1,3,4,8,2
Western Houston,1,3,4,8,2
Key Mission ,1,3,4,8,2
Name Withheld,1,4,4,8,2
Erik Spirit ,1,5,4,8,2
CSK Longevity ,1,3,4,8,2
Tokyo Tower ,1,4,4,8,2
MSC Ningbo ,1,4,4,8,2
Cape Fulmar ,1,4,4,8,2
Orient Grace ,1,3,4,8,2
Alpha Era ,1,3,4,14,5
Indigo Hope ,1,13,4,14,5
Stella Lucy ,1,3,4,14,5
Arabian Express ,1,4,4,8,2
IVS Kittiwake ,1,3,4,8,2
Elpida GR ,1,3,4,1,3
X-Press Brahmaputra ,1,4,4,1,3
Ashahda ,1,5,4,1,3
Overseas Milos ,1,5,4,11,3
Wadi Albostan ,1,3,4,1,3
BBC Seine ,1,2,4,1,3
Name Withheld ,1,5,4,11,3
Kilian S ,1,3,4,1,3
Helmuth Rambow,1,4,4,1,3
Taung Gyi Star ,1,4,4,1,3
Fulham Road ,1,5,4,11,3
Bhairavi ,1,5,4,11,3
Star Kestrel ,1,5,4,11,3
Name Withheld ,1,5,4,11,3
Name Withheld,1,3,4,11,3
Kalliopi L ,1,3,4,11,3
Maritime Dinar ,1,5,4,11,3
Name Withheld ,1,5,4,11,3
Alpine Maria ,1,5,4,11,3
Name Withheld ,1,2,4,14,4
Pelikaan ,1,11,4,14,4
Sichem Contester ,1,5,4,14,4
Sea Majesty ,1,2,4,14,4
BBC Hudson ,1,2,4,14,4
Wawasan Sapphire ,1,5,4,14,4
Energy Progress Product Tanker ,1,5,4,14,4
Malena,1,2,4,14,4
Mariam ,1,5,3,6,1
Ocean Splendor ,1,3,4,14,1
Pure Grace ,1,5,4,14,1
Lu Rong Yuan ,1,1,4,14,1
Green Klipper ,1,9,4,6,1
Sea Force ,1,5,4,6,1
Geocean Protis ,1,13,4,14,1
Maridive 603 ,1,13,4,6,1
Name Withheld ,1,13,4,6,1
Green Glacier ,1,9,4,14,1
High Mars ,1,5,4,6,1
MCP Adamas ,1,2,4,14,1
Honey Badger ,1,3,4,14,1
Name Withheld ,1,13,4,6,1
MCP Troodos ,1,2,4,14,1
Name Withheld ,1,2,4,14,1
Roberta ,1,3,4,14,1
Silver Amanda ,1,5,4,14,1
Port Hainan ,1,3,4,14,1
Solarte,1,9,4,6,1
Mia-S,1,3,4,14,1
Eclips,1,4,4,14,1
Sea Force ,1,5,4,14,1
Szafir,1,2,4,6,1
Asia Pearl III ,1,3,4,14,1
Sudkap,1,2,4,14,1
Kwadima II ,1,13,4,14,6
Brahms,1,3,1,14,2
Amis Wisdom III ,1,3,1,14,2
Phubai Pattra 3 ,1,5,1,5,2
CTP Fortune ,1,4,1,9,2
Golden Avenue ,1,5,1,4,2
Ocean Ruby ,1,3,1,4,2
Alpha,1,5,1,4,2
Setagawa ,1,5,1,4,2
Gallia Graeca ,1,3,1,4,2
Advantage Summer ,1,5,1,4,2
Hamgam ,1,3,1,4,2
NPS Ocean Star ,1,3,1,4,2
Alameda ,1,3,1,4,2
Salvigilant ,1,12,1,4,2
Posh Giant 1 ,1,13,1,4,2
Aqua Venture ,1,3,2,14,2
Mynika,1,3,1,4,2
Cable Retriever ,1,13,1,8,5
Edward N ,1,3,1,14,5
Goldengate Park ,1,5,1,1,3
Remi,1,5,1,6,1
Sira,1,5,1,6,1
Santa Giannina ,1,4,1,14,1
CMB Boris ,1,3,1,14,1
Ailsa Craig I ,1,13,1,6,1
Karina Theresa ,1,5,1,6,1
Challenge Pacific ,1,5,1,14,1
Marlin Amethyst ,1,5,1,6,1
Union Sapphire ,1,12,1,14,1
Crest Hydra (2016),2,13,4,4,2
Name withheld ,2,5,4,14,2
SBI Sabaru,2,3,4,4,2
Maratha Promise ,2,3,4,4,2
Name Withheld,2,5,4,4,2
Brahma 12,2,12,3,14,2
Anand 12,2,13,3,14,2
Massive 6,2,12,4,5,2
Frontier Hero,2,3,4,4,2
Cougar,2,4,4,4,2
Kota Rancak,2,4,4,4,2
Henry,2,12,4,5,2
Christy,2,13,4,5,2
Lewek Champion,2,13,4,5,2
Name Withheld,2,5,4,4,2
J.F.C,2,13,4,4,2
Alpha Effort,2,3,4,4,2
SBI Rumba,2,3,4,4,2
Hai Soon 12,2,5,3,4,2
Tristen,2,5,4,4,2
Name Withheld,2,3,4,4,2
Polar Duchhes,2,13,4,4,2
Fairmount Summit,2,12,4,4,2
Torm Ragnhild ,2,5,4,4,2
Ever Prosper,2,12,4,5,2
Ever Dignty,2,13,4,5,2
Fjell,2,13,4,4,2
UACC Marah,2,5,4,4,2
Anna-Maria,2,3,4,4,2
Chamtag,2,5,4,4,2
Name Withheld,2,3,4,4,2
Vishva Nidhi,2,3,4,4,2
SSI Dignity,2,3,4,4,2
Atlantic Diana,2,5,4,14,2
Baltimore ,2,3,4,4,2
SBI Thalia,2,3,4,4,2
Fairchem Birdie,2,5,4,4,2
AD Matsu,2,13,4,5,2
Maersk Torshavn,2,5,4,14,2
Camila,2,3,4,4,2
Taurus Sun,2,5,4,4,2
Promise 2,2,3,4,4,2
Lady Melinda,2,12,4,4,2
Pcific Noble ,2,3,4,4,2
Name Withheld,2,3,4,4,2
Ken Ten,2,3,4,4,2
Name Withheld,2,5,4,4,2
Dongbang Giant,2,2,4,14,2
Ever Ocean Silk,2,12,3,5,2
Ever Giant,2,13,3,5,2
Name Withheld,2,5,4,4,2
Name Withheld,2,5,4,14,2
Chembulk Jakarta,2,5,4,4,2
Royal 16,2,2,4,14,2
Mighty Servant 1,2,13,4,4,2
Mystars,2,3,4,4,2
NA,2,1,4,5,2
Trident Starr,2,3,4,4,2
Name Withheld,2,12,4,9,2
Buena Reina,2,5,4,4,2
Permata,2,2,4,4,2
Yamatai,2,13,4,4,2
Aegis Fortune ,2,3,4,4,2
Centaurus Ocean,2,3,4,4,2
Trysil Spirit,2,5,4,4,2
Nord Power ,2,3,4,14,5
Trident Challanger,2,3,4,8,5
IVS Sentosa,2,3,4,8,5
Sea Holly,2,5,4,14,5
SBI Athena ,2,3,4,14,5
SBI Tango ,2,3,4,14,5
Warrambo,2,13,4,14,5
Haydn,2,4,4,8,5
Pacific Jasmine,2,3,4,8,5
Atlantica ,2,3,4,8,5
Apollo Rikuyo,2,2,4,8,5
Amadeus,2,3,4,8,5
Hoang dung 26,2,4,4,8,5
KN Forest,2,3,4,8,5
Voge Master,2,3,4,14,5
Barge Hengshan,2,3,4,14,5
Shebelle,2,2,4,11,3
Bow Kiso,2,5,4,11,3
CMB Medoc,2,3,4,11,3
Serjeant,2,5,4,11,3
Dawn Maduari,2,5,4,11,3
Pomer ,2,5,4,11,3
Excelsior Bay,2,5,4,11,3
SBI Maia,2,3,4,11,3
Songa Falcon,2,5,4,11,3
Pacific Warlock,2,12,4,11,3
New Challange,2,5,4,11,3
Lycaste Peace ,2,5,4,11,3
Gas Snapper,2,5,4,11,3
Sicilia,2,4,4,11,3
Ocean Opal,2,3,4,11,3
Sea Star,2,3,4,1,3
AAL Kobe,2,2,4,14,4
Nord Guardian,2,5,4,14,4
CMA CGM,2,4,4,14,4
Cougar ACE,2,10,4,14,4
Federal Lyra,2,3,4,14,4
Prime Express,2,5,4,14,4
Albatross,2,13,4,14,4
Irmgard Schulte,2,5,4,14,4
Name Withheld ,2,5,4,14,4
STH Sydney,2,3,4,14,4
BW Egret,2,5,4,14,4
San Antonio,2,3,4,14,4
Amsten Falcon ,2,3,4,14,4
Americas Spirit ,2,5,4,14,4
Century Melody ,2,3,4,14,4
Kumano Lily,2,2,4,14,4
BW Cougar ,2,5,4,14,4
Century Dream,2,3,4,14,4
Fortunato ,2,5,4,14,4
Ocean Hawk,2,3,4,14,4
Century Gold,2,3,4,14,4
Vikrant Dolphin,2,13,4,14,4
Name Withheld,2,5,4,14,4
Ajemsian,2,12,4,6,1
Sea Lion 1,2,5,4,14,1
Lean Dios ,2,5,3,6,1
SFL Clyde,2,3,4,14,1
Nave Jupiter,2,5,4,6,1
Maximus ,2,5,3,14,1
Jascon 67,2,12,4,6,1
Canal Street,2,5,4,14,1
Madonna 1,2,5,4,6,1
Sampatiki,2,5,4,6,1
Puli,2,5,4,6,1
CMA CGM Turquoise,2,4,4,6,1
Armada Tuah 101,2,13,4,6,1
Name Withheld,2,13,4,6,1
Horizon Geobay,2,13,4,14,1
Pacific Zircom ,2,5,4,14,1
Sea Emperor,2,5,4,14,1
Berlian Ekuator,2,5,4,14,1
NGOL Cunene,2,5,4,14,1
Teal ,2,13,4,14,1
Geocean Protis ,2,13,4,14,1
Prince Joseph 1,2,13,4,6,1
Torm Thyra,2,5,4,6,1
Geocean Protis ,2,13,4,14,1
Lewek Constellation,2,13,4,14,1
MR aquarius,2,5,4,14,1
Olympic Hercules,2,12,4,14,1
Harley,2,5,4,6,1
King Beans ,2,3,4,14,1
Walnut Express,2,5,4,6,1
Vectis Osprey,2,2,4,6,1
Aisha Sarwar ,2,3,4,14,1
Olympic Hercules,2,12,4,4,1
Name Withheld,2,5,4,14,1
Hellespont Defiance,2,13,4,14,1
Hanze Kochi,2,5,4,6,1
Windhoek,2,4,4,14,1
Jenny N,2,5,4,14,1
Eliana,2,5,4,6,1
Name Withheld,2,9,3,14,1
Gunga,2,5,4,14,1
Maratha Promise ,2,3,1,4,2
ANL Darwin Trader ,2,2,1,4,2
Amity,2,3,1,14,2
Karolos,2,5,1,4,2
Nautica Tg. Puteri,2,12,1,9,2
Southern Falcon,2,5,1,14,2
Ken Toku,2,3,1,14,2
Yadanabon Star,2,4,1,1,3
Danubia,2,5,1,14,4
Betıla Arrow,2,2,1,14,4
Balsa 89,2,2,1,14,4
Citrus Express,2,5,1,14,4
Msc Tasmania,2,4,1,2,1
CPO Korea,2,5,2,3,1
Silver Sky,2,10,2,6,1
Pskov,2,5,1,6,1
Brightway,2,5,1,6,1
Glyfada,2,3,2,6,1
Madonna 1,2,5,2,6,1
Nordic Freedom,2,5,1,6,1
Ottoman Equity,2,5,1,6,1
Madonna 1,2,5,2,6,1
African Beauty,2,5,1,6,1
Olivia 1,2,5,2,6,1
Madonna 1,2,5,2,6,1
African Beauty,2,5,1,6,1
Moxon,2,5,2,6,1
Harley,2,5,2,6,1
Bouboulina,2,5,2,6,1
CS Jaden,2,3,1,14,1
Songa Opal,2,5,1,6,1
Zefyros,2,5,1,6,1
Antarctic,2,5,1,6,1
Fair Apollon,2,5,2,14,6
Silver Express (2017),3,5,4,14,2
Alpha Bulker,3,3,4,4,2
Name Withheld,3,5,4,5,2
BN-838,3,13,4,14,2
Giang Hai,3,2,4,14,2
Name Withheld,3,12,4,4,2
Name Withheld,3,5,4,4,2
Maersk Aegean,3,5,4,4,2
Nancy P,3,5,4,14,2
Global Phenix,3,5,4,14,2
Super Shuuttle,3,12,4,14,2
Ocean Ambition ,3,3,4,4,2
Overseas Andromar ,3,5,4,14,2
Arpeggio,3,3,4,4,2
Lucina Providence ,3,5,4,14,2
Ballenita,3,4,4,14,2
Nord Maru,3,3,4,4,2
Nave Buena Suerte,3,5,4,5,2
Parabhu Lal,3,3,4,4,2
Sc Dalian ,3,5,4,4,2
Name Withheld,3,5,4,4,2
Alice,3,5,4,4,2
Uni Challenge,3,3,4,4,2
Harvester,3,3,4,4,2
Akrotiri,3,5,4,4,2
Duke,3,13,4,4,2
Loch Seaforth,3,13,4,4,2
Ms Sophie,3,5,4,14,2
Name Withheld,3,5,4,4,2
C.P 41,3,5,4,5,2
E.R Martinique,3,3,4,14,2
COSCO Fukuyama,3,4,4,14,2
Name Withheld,3,5,4,4,2
RHL Aqua,3,4,4,4,2
Warnow Master,3,4,4,14,2
Star Lily,3,3,4,4,2
MGT 1,3,5,4,5,2
Senna 3,3,5,4,5,2
Ocean Amazing,3,3,4,4,2
Ms Eagle ,3,4,4,14,2
Botany Bay,3,4,4,14,2
 MMA Crysal,3,12,4,9,2
Name Withheld,3,3,4,4,2
Jutta ,3,3,4,4,2
Linda Kosan ,3,5,4,4,2
African Spirit,3,5,4,4,2
BW Mayna ,3,5,4,4,2
GP T2,3,5,4,5,2
Haima ,3,5,4,4,2
Port Belmonte ,3,3,4,4,2
Pacific Liberty,3,13,4,4,2
Andromeda,3,3,4,4,2
Name Withheld,3,5,4,4,2
Boraq,3,5,4,4,2
Ever Prosper,3,12,3,4,2
Ever Omega,3,13,3,4,2
SKS Doyles ,3,5,4,4,2
CPO Norfolk ,3,4,4,14,2
Hansa Fresenburg,3,4,4,14,2
Island Performer ,3,13,4,4,2
Far Strait ,3,13,4,4,2
Jupiter Sun,3,5,4,4,2
Lobivia,3,4,4,14,2
Koro Sea,3,5,4,9,2
GH Northern,3,3,4,4,2
Name Withheld,3,5,4,4,2
Fame ,3,3,4,9,2
Skythia,3,3,4,14,5
SBI Echo,3,3,4,8,2
Tron Legacy ,3,3,4,8,2
Berge Atlas,3,3,4,14,5
Name Withheld,3,4,4,1,3
Santa Fiorenza ,3,4,4,1,3
Jaya Crystal,3,12,4,1,3
El hadjr,3,3,4,1,3
Name Withheld,3,13,4,1,3
Name Withheld,3,13,4,1,3
MMA Pinnacle,3,13,4,11,3
Unique Developer,3,5,4,1,3
Name Withheld,3,5,4,11,3
Name Withheld,3,3,4,1,3
Ocean Paradise,3,3,4,11,3
Maritime Raja,3,12,4,1,3
Crest Gold 1,3,12,4,1,3
Crest 258C,3,13,4,1,3
Crest Spartan 8,3,12,4,1,3
Crest 252,3,13,4,1,3
Crest Spartan 8,3,12,4,1,3
Crest 252,3,13,4,1,3
Nijinsky,3,5,4,14,4
Imabari Logger,3,3,4,14,4
